,fees_R_X,fees_R_Y
549,0E-54,0E-46
550,0E-54,0E-46
551,0E-54,0E-46
552,0E-54,0E-46
553,0E-54,0E-46
554,0E-54,0E-46
555,0E-54,0E-46
556,0E-54,0E-46
557,-0.000010497640665145247394358807835595440457229141611713,-3609.1011237638847391095024409013825547851897187380
558,0.000010497640665145247394358807835595440457229141611713,3609.1011237638847391095024409013825547851897187380
559,0E-54,0E-46
560,0E-54,0E-46
561,0E-54,0E-46
562,0E-54,0E-46
563,0E-54,0E-46
564,0E-54,0E-46
565,0E-54,0E-46
566,0E-54,0E-46
567,-0.000010314958272277828290744368708542899317172915029268,-3510.2015553469547602148186037721869788743600809262
568,0.000010314958272277828290744368708542899317172915029268,3510.2015553469547602148186037721869788743600809262
569,0E-54,0E-46
570,0E-54,0E-46
571,0E-54,0E-46
572,0E-54,0E-46
573,0E-54,0E-46
574,0E-54,0E-46
575,0E-54,0E-46
576,0E-54,0E-46
577,-7.6664624575243720549501980327131562404950577495504E-7,-445.55556378466982507937765291762189776629754433018
578,7.66646245752437205495019803271315624049505774955E-7,445.5555637846698250793776529176218977662975443302
579,0E-54,0E-46
580,0E-54,0E-46
581,0E-54,0E-46
582,0E-54,0E-46
583,0E-54,0E-46
584,0E-54,0E-46
585,0E-54,0E-46
586,0E-54,0E-46
587,-0.0000033202700719169603917541186678687509520468179430653,-2254.6643170962924865324588572662045168830919214011
588,0.000003320270071916960391754118667868750952046817943065,2254.6643170962924865324588572662045168830919214011
589,0E-54,0E-46
590,0E-54,0E-46
591,0E-54,0E-46
592,0E-54,0E-46
593,0E-54,0E-46
594,0E-54,0E-46
595,0E-54,0E-46
596,0E-54,0E-46
597,-0.000013267421433150371582296688212559107223500868197945,-5545.0812491138735962595339010133944021626281919682
598,0.000013267421433150371582296688212559107223500868197945,5545.0812491138735962595339010133944021626281919682
599,0E-54,0E-46
600,0E-54,0E-46
601,0E-54,0E-46
602,0E-54,0E-46
603,0E-54,0E-46
604,0E-54,0E-46
605,0E-54,0E-46
606,0E-54,0E-46
607,-0.000010299446716966261912682231685078931802520783968028,-3501.4564063517087500828530401827329720705302945843
608,0.000010299446716966261912682231685078931802520783968028,3501.4564063517087500828530401827329720705302945843
609,0E-54,0E-46
610,0E-54,0E-46
611,0E-54,0E-46
612,0E-54,0E-46
613,0E-54,0E-46
614,0E-54,0E-46
615,0E-54,0E-46
616,0E-54,0E-46
617,-1.9713394397333945760669383914039012300081654205923E-9,-0.95756063981346922694374405464738147632979797197999
618,1.971339439733394576066938391403901230008165421E-9,0.9575606398134692269437440546473814763297979720
619,0E-54,0E-46
620,0E-54,0E-46
621,0E-54,0E-46
622,0E-54,0E-46
623,0E-54,0E-46
624,0E-54,0E-46
625,0E-54,0E-46
626,0E-54,0E-46
